"gene" "TF" "p_value" "FDR" "rho"
"1" "EDN1" "ZNF263" 0.094997088221283 0.238206961369626 -0.198276416489806
"2" "EDN1" "ETV1" 0.424855125245578 0.63294743148831 0.0955045340536369
"3" "EDN1" "TEAD3" 0.802866414714931 0.878041172647041 0.0299376165669818
"4" "EDN1" "TFAP2B" 0.469163243929182 0.662965561618642 0.0866615216412631
"5" "EDN1" "NFIX" 0.00152363098529407 0.0185375103210778 0.366904624091581
"6" "EDN1" "ETV7" 0.248735642789559 0.463582475296338 0.137693742362853
"7" "EDN1" "ZNF582" 0.781365107173188 0.86843817300061 -0.0332818830792977
"8" "EDN1" "SNAI2" 0.0200664393973991 0.102796496562115 0.273554569425687
"9" "EDN1" "RUNX3" 0.000551694943512613 0.0115067802504059 0.397163804746286
"10" "EDN1" "POU2F2" 0.103249818622311 0.252706094413567 0.193581580809055
"11" "EDN1" "FOXP3" 0.864814302554992 0.918275550349301 0.0204193195703904
"12" "EDN1" "PRDM1" 0.0174451906884838 0.0926181032915867 0.279439192231012
"13" "EDN1" "ZNF76" 0.592763721117666 0.755838456621653 0.0640877226831308
"14" "EDN1" "MSANTD3" 0.0257966759584392 0.11374558097084 0.26268570326066
"15" "EDN1" "KLF6" 1.20863737206511e-05 0.00117640704214337 0.490706797864815
"16" "EDN1" "MEF2A" 0.153124243613496 0.33367372488911 0.170107402405299
"17" "EDN1" "TCF3" 0.024925236171047 0.11374558097084 0.264197054472956
"18" "EDN1" "TEAD2" 0.42815185638007 0.633402236287712 0.0948292494694193
"19" "EDN1" "FOSL2" 0.000501467439352204 0.0115067802504059 0.399864943083157
"20" "EDN1" "NFKB2" 0.109889195211461 0.263013483620875 0.190012219435334
"21" "EDN1" "MEF2C" 0.0279978725509511 0.116791125498253 0.259052029069394
"22" "EDN1" "GRHL2" 0.182687298674894 0.370995435069431 -0.158820502926233
"23" "EDN1" "ZNF416" 0.125436484496735 0.290694075182909 -0.182262524921217
"24" "EDN1" "REST" 0.280840794861357 0.485239716565185 -0.128818573541707
"25" "EDN1" "TFAP2C" 0.254697176950925 0.463582475296338 0.135989452697923
"26" "EDN1" "ZNF343" 0.937177791167633 0.949707658092861 0.00945398417904689
"27" "EDN1" "POU4F3" 0.42284859288654 0.63294743148831 -0.095917007834175
