ensembl_gene_id	d0_A_Rep1	d0_A_Rep2	d0_A_Rep3	d0_A_Rep4	d0_Y_Pax7_Rep1	d0_Y_Pax7_Rep2	d0_Y_Pax7_Rep3	d0_Y_Rep1	d0_Y_Rep2	d0_Y_Rep3	d0_Y_Rep4	d1_A_Rep1	d1_A_Rep2	d1_Y_Rep1	d1_Y_Rep2	d1_Y_Rep3	d3_A_Rep1	d3_A_Rep2	d3_Y_Rep1	d3_Y_Rep2	d3_Y_Rep3	d5_A_Rep1	d5_A_Rep2	d5_Y_Rep1	d5_Y_Rep2	d7_A_Rep1	d7_A_Rep2	d7_A_Rep3	d7_A_Rep4	d7_Y_Rep1	d7_Y_Rep2	d7_Y_Rep3	d7_Y_Rep4
ENSMUSG00000000001	5.015693807	4.976363636	6.203005338	5.78633498	6.763278772	6.366322214	6.074034394	6.438459204	6.674969031	5.435961895	6.193968819	6.580748492	6.60496087	6.422233001	6.410748128	6.17132694	6.364747506	5.801676029	6.524189078	6.547048751	5.828834649	6.655781138	6.656639374	6.695019442	6.71630504	6.625270489	6.548282482	6.407862567	6.46760555	6.405652061	6.314696526	6.650046479	6.745640714
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	1.469885976	1.66448284	1.541019153	2.411426246	2.280956314	1.40053793	1.344828497	2.124328135	2.56315813	2.378511623	2.358958826	4.956985925	4.773996325	2.084064265	1.879705766	4.005399988	5.720552092	5.928607199	5.282439805	5.320845668	5.699884729	2.589763487	2.347665656	4.222650022	4.181897643	3.694880193	3.737686761	3.657640005	3.152183419	4.512226887	3.075532631	4.452858965	4.221103725
ENSMUSG00000000031	1.378511623	1.541019153	1.952333566	1.974529312	4.610581958	2.03562391	1.195347598	0.871843649	0.50589093	2.10433666	1.480265122	1.871843649	2.220329955	1.744161096	1.495695163	6.492013387	4.462052319	5.037382222	5.198494154	5.19061486	6.39609097	1.735522177	1.709290636	5.829088444	5.643567622	5.014801602	5.183883459	4.586164246	4.306699707	5.671859468	4.410748128	3.94673086	4.727920455
ENSMUSG00000000037	0.443606651	0.23878686	0.516015147	0.948600847	1.014355293	0.516015147	0.286881148	0.250961574	0.722466024	0.422233001	0.454175893	1.176322773	0.941106311	0.839959587	0.86393845	1.021479727	1.03562391	1.084064265	1.214124805	1.042644337	0.90303827	0.070389328	0.189033824	1.422233001	1.416839742	1.333423734	1.137503524	1.839959587	1.66448284	0.97819563	0.855989697	1.480265122	0.378511623
ENSMUSG00000000049	1.097610797	1.021479727	0	0.23878686	0	0	0	0.526068812	0	0.111031312	0.23878686	0.028569152	0.722466024	0.526068812	0.565597176	0.070389328	0	0.028569152	0	0.042644337	0.028569152	0	0	0	0.028569152	0	0	0	0.333423734	0.097610797	0	0	0.124328135
ENSMUSG00000000056	1.989139007	1.748461233	3.430285273	2.855989697	3.016139703	3.311793718	3.617063344	2.50589093	2.891419187	2.983677695	2.794935663	1.827819025	2.35614381	2.550900665	2.599317794	2.599317794	2.996388746	2.6622055	4.137503524	3.832890014	3.743084056	3.181102551	3.060047384	2.941106311	2.865918815	3.09592442	2.887525271	3.056583528	2.411426246	2.244887059	3.22342255	2.778208576	1.851998837
ENSMUSG00000000058	3.935459748	4.111031312	4.492494152	4.925999419	5.290571851	6.513490746	7.269033146	7.509220776	5.694044413	4.448900951	6.40053793	5.454833907	5.658782734	5.173527238	5.119771162	5.021923839	5.286881148	4.542877099	4.989593185	5.074676686	4.092545742	7.81275491	7.930086796	4.861459166	5.075104722	5.001802243	4.947666157	4.489928219	4.708739041	5.019257119	6.113325443	5.147306699	5.137093609
ENSMUSG00000000078	6.916476644	6.858354058	7.957682486	8.193673195	8.402372578	8.491732867	8.560982378	7.722944111	7.407607682	6.91981677	7.368069877	7.293149737	7.243840421	7.790967476	7.577353292	7.164605286	6.751677946	6.747118816	6.661493093	6.632704448	6.480265122	7.513174885	7.446338951	7.112700133	7.043410128	7.384308888	7.401135513	8.174326515	8.229732108	7.842161743	7.501837185	8.514516816	8.612721088
ENSMUSG00000000085	3.44625623	3.121015401	5.051807107	5.14974712	4.890446693	4.889473543	4.807870078	3.743084056	3.939226578	4.265286858	4.023255352	4.70763522	4.728464765	4.625854931	4.656496371	3.797012978	3.781359714	3.723558561	3.74092756	3.672425342	4.14404637	3.930737338	3.959770155	4.456806149	3.854993017	4.896756218	4.999549087	4.814550423	4.94016675	4.0721058	4.405311683	5.324090516	4.910252963
ENSMUSG00000000088	8.4158685	8.375517354	6.371558863	6.319943024	8.480830584	7.157650097	7.175624397	7.537063055	7.01346226	7.221587121	7.295447535	8.271322954	8.157094252	7.243935602	7.125465133	8.608069968	9.241864012	8.993419626	9.40541806	9.479719645	9.218950647	7.201633861	7.28872768	8.324135532	8.473665167	7.793180599	7.670160514	7.712870868	7.392489162	8.796364138	7.869377924	7.885391332	7.613015892
ENSMUSG00000000093	2.773996325	2.776103988	4.019701914	4.386810946	1.560714954	3.702657543	4.775577361	2.381283373	2.032100843	4.088311236	3.305970521	4.22650853	4.510961919	2.521050737	2.698218478	1.618238656	0.731183242	2.684818738	0.310340121	0.40053793	1.618238656	1.713695815	1.86393845	0.584962501	0.545968369	1.344828497	1.344828497	1.752748591	2.389566812	2.657640005	4.696550301	1.269033146	1.459431619
ENSMUSG00000000094	1.3950628	1.214124805	3.392317423	3.192194165	3.116031993	1.956056652	1.673556424	0.23878686	2.014355293	3.317593505	2.482848283	2.195347598	2.204766751	2.198494154	2.666756592	2.378511623	2.695993813	2.702657543	3.22342255	3.112700133	3.049630768	0.98550043	1.021479727	3.263034406	3.201633861	2.769771739	2.825785627	3.455491621	3.195347598	2.599317794	2.107687869	3.377123749	3.347665656
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0.632268215	0.378511623	2.3305584	2.432959407	0.713695815	1.843983844	1.063502942	0.941106311	1.695993813	1.735522177	1.510961919	3.124328135	2.722466024	2.526068812	1.925999419	2.185866545	0.963474124	1.739848103	1.021479727	1.042644337	1.604071324	0.298658316	0.333423734	1.189033824	1.214124805	1.66448284	1.613531653	1.970853654	1.608809243	0.807354922	0.748461233	2.669026766	1.622930351
ENSMUSG00000000125	0	0.028569152	0	0	0.23878686	0	0	0	0.056583528	0.084064265	0.042644337	0	0	0	0	0.056583528	0.014355293	0	0	0	0	0.042644337	0.042644337	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0.310340121	0.40053793	2.819668183	2.889473543	0.831877241	2.414135533	2.472487771	0.137503524	0.757023247	2.192194165	1.438292852	1.257010618	1.739848103	1.111031312	1.871843649	0.871843649	1.748461233	1.526068812	2.195347598	2.283921772	2.40599236	2.381283373	2.3950628	2.073820233	2.124328135	2.438292852	2.321928095	3.053111336	2.906890596	0.941106311	2.163498732	0.575312331	1.618238656
ENSMUSG00000000127	2.247927513	2.13093087	4.160274831	3.622930351	3.691534165	3.841973119	3.809414444	3.697106574	4.225737653	2.891419187	3.606442228	4.043519494	3.95419631	3.472487771	3.407352751	3.688180359	3.559491813	3.026800059	3.847996907	3.896271849	2.99095486	3.869871406	3.788685711	4.040892431	3.948600847	4.011674533	3.988230223	3.888499736	3.832890014	4.205548911	3.885574364	4.253989266	3.89917563
ENSMUSG00000000131	4.08491466	4.017921908	6.288912203	6.326429487	6.071462363	5.373996142	5.153805336	3.771885579	4.99095486	5.499527024	5.011227255	5.731726323	5.468257468	5.272769732	5.404290064	5.449231201	5.712870868	6.095502518	5.428276414	5.373300197	5.988684687	4.574707046	4.496334513	5.639810978	5.486714373	5.916954279	6.057666877	6.500483401	6.575917361	5.14404637	5.040892431	6.380590934	6.09592442
ENSMUSG00000000134	2.952333566	2.780310099	5.069100632	4.983677695	4.897240426	5.042644337	4.881175155	3.35614381	3.204766751	4.470536865	3.912649865	4.93593114	4.918863237	5.113117036	5.112283109	4.319039816	4.741466986	4.418189948	4.574707046	4.642123916	4.531069493	4.516645558	4.61176256	4.841469999	4.798569004	4.868390453	4.795455272	5.128870759	5	4.363171077	4.579542225	5.309976492	5.262658655
ENSMUSG00000000142	0.321928095	0.137503524	0.432959407	1.084064265	0.35614381	0.275007047	0.659924558	0.250961574	0.659924558	0.641546029	0.516015147	0.422233001	0.389566812	0.918386234	0.659924558	0.263034406	0.411426246	0.604071324	0.344828497	0.35614381	0.641546029	0.056583528	0.097610797	0.40053793	0.263034406	0.150559677	0.176322773	0.545968369	0.344828497	0.056583528	0.070389328	0.263034406	0.526068812
ENSMUSG00000000148	1	0.82374936	4.116863758	3.854993017	0.807354922	2.599317794	2.771885579	1.257010618	1.063502942	3.826802684	2.861955364	2.604071324	2.675815931	1.811471031	2.173127433	2.459431619	3.030336078	3.307428525	3.121015401	3.140778656	3.550900665	2.15704371	2.166715445	2.625270489	2.575312331	2.488000771	2.545968369	3.206330648	3.742006211	2.301587647	2.570462931	2.771885579	2.114367025
ENSMUSG00000000149	3.217230716	3.211012193	6.201829866	6.24431626	5.666472569	5.731997787	6.132988043	4.696550301	4.452858965	5.846744023	5.259272487	5.512542955	5.616769366	5.511910749	4.710393192	5.702103407	1.956056652	5.800382248	1.298658316	1.275007047	5.894575273	2.09423607	2.046141782	2.084064265	2.021479727	1.941106311	1.992768431	6.205157884	6.120600774	4.636334602	3.005399988	6.108733528	5.982537314
ENSMUSG00000000154	1.333423734	1.361768359	1.22650853	0.275007047	0	1.344828497	1.565597176	1.748461233	1.443606651	1.275007047	1.495695163	0.367371066	0.464668267	0.669026766	0.782408565	1.201633861	0.150559677	0.111031312	0.263034406	0.214124805	0.097610797	1.718087584	1.555816155	1.028569152	0.659924558	0.669026766	0.622930351	0.176322773	0.422233001	0.555816155	0.669026766	0	0
ENSMUSG00000000157	0	0	0	0.124328135	0	0.879705766	0	0	0	0	0	0	0	0	0	0.056583528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0.097610797	0	0	0.042644337	0	0	0	0	0.411426246	0	0	0	0.028569152	0	0	0	0	0	1.292781749	0.956056652	0	0	0	0	0	0
